max_r2_drop,mean_r2,std_r2,mean_rmse,std_rmse,mean_compression_ratio,std_compression_ratio,significantly_worse,p_value
0.0,0.8063228487968445,0.0008368442426911605,0.506063366855719,0.001094011513147921,1.0285062971155148,0.0,True,1.308765111375727e-12
0.02,0.8106098115444184,0.002231291851972435,0.5004237971155103,0.002944663847922112,4.633824888453754,1.7901031956719637,True,1.5575459757371852e-07
0.03,0.8109192371368408,0.0014828930334740444,0.5000196221916813,0.001962453188479679,5.528876486289735,8.881784197001252e-16,True,5.61132958923496e-09
0.05,0.8072257161140441,0.00131377795295251,0.5048806808211908,0.0017231004249716635,9.154077942948975,0.0,True,1.294221137168549e-10
0.08,0.7939359664916992,0.0007983054946917109,0.5219957968830953,0.0010108863676825753,11.618816930137685,0.0,True,3.870438808177978e-15
